side,filename,xLi,xEMC,xEC,stdev,tp_dens,tp_frac
anodic,data/55150_1.csv,0.19474194965164315,0.4181068559423693,0.38715119440598755,0.0028957131899933182,0.8367687637398326,0.11543481094255803
neutral,data/55150_1.csv,0.185,0.4075,0.4075,0,0.8367687637398326,0.11543481094255803
cathodic,data/55150_1.csv,0.17715874942973642,0.3994709880830669,0.42337026248719667,0.0029330997522135772,0.8367687637398326,0.11543481094255803
anodic,data/55150_2.csv,0.1947947257456235,0.41708813875402484,0.38811713550035165,0.0028432770616380228,0.7755485966993181,0.10085366052907574
neutral,data/55150_2.csv,0.185,0.4075,0.4075,0,0.7755485966993181,0.10085366052907574
cathodic,data/55150_2.csv,0.1770461869139126,0.40035406787933425,0.42259974520675314,0.002899882411176465,0.7755485966993181,0.10085366052907574
anodic,data/55150_3.csv,0.19513937625663402,0.41657702534143937,0.3882835984019266,0.002854829306700365,0.7279479395663582,0.06748970092007395
neutral,data/55150_3.csv,0.185,0.4075,0.4075,0,0.7279479395663582,0.06748970092007395
cathodic,data/55150_3.csv,0.176813695424471,0.4011505102935189,0.4220357942820101,0.002840192578567363,0.7279479395663582,0.06748970092007395
